"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","citing_anchor","id","type"
"Measuring Geopolitical Risk","Dario Caldara; Matteo Iacoviello","2022","American Economic Review","3041","False","","https://doi.org/10.1257/aer.20191823","We present a news-based measure of adverse geopolitical events and associated risks. The geopolitical risk (GPR) index spikes around the two world wars, at the beginning of the Korean War, during the Cuban Missile Crisis, and after 9/11. Higher geopolitical risk foreshadows lower investment and employment and is associated with higher disaster probability and larger downside risks. The adverse consequences of the GPR index are driven by both the threat and the realization of adverse geopolitical events. We complement our aggregate measures with industry- and firm-level indicators of geopolitical risk. Investment drops more in industries that are exposed to aggregate geopolitical risk. Higher firm-level geopolitical risk is associated with lower firm-level investment. (JEL C43, E32, F51, F52, G31, H56, N40)","Hassan2019_PRisk","https://openalex.org/W4221040930","article"
"Firm‐Level Climate Change Exposure","Zacharias Sautner; Laurence van Lent; Grigory Vilkov; RUISHEN ZHANG","2023","The Journal of Finance","1090","True","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jofi.13219","https://doi.org/10.1111/jofi.13219","ABSTRACT We develop a method that identifies the attention paid by earnings call participants to firms' climate change exposures. The method adapts a machine learning keyword discovery algorithm and captures exposures related to opportunity, physical, and regulatory shocks associated with climate change. The measures are available for more than 10,000 firms from 34 countries between 2002 and 2020. We show that the measures are useful in predicting important real outcomes related to the net‐zero transition, in particular, job creation in disruptive green technologies and green patenting, and that they contain information that is priced in options and equity markets.","Hassan2019_PRisk","https://openalex.org/W4322624932","article"
"The economic effects of trade policy uncertainty","Dario Caldara; Matteo Iacoviello; Patrick Molligo; Andrea Prestipino; Andrea Raffo","2019","Journal of Monetary Economics","585","True","https://doi.org/10.1016/j.jmoneco.2019.11.002","https://doi.org/10.1016/j.jmoneco.2019.11.002","• New measures of trade policy uncertainty are constructed using firm-level and aggregate data. • Trade policy uncertainty reduced U.S. investment by about 1.5% in 2018. • Open-economy DSGE Model with heterogeneous firms and nominal rigidities analyzes news and uncertainty about future tariffs. This paper studies the effects of unexpected changes in trade policy uncertainty (TPU) on the U.S. economy. Three measures of TPU are constructed using newspaper coverage, firms’ earnings calls, and tariff rates. Firm-level and aggregate macroeconomic data reveal that increases in TPU reduce business investment. The empirical results are interpreted through the lens of a two-country general equilibrium model with nominal rigidities and firms’ export participation decisions. News and increased uncertainty about higher future tariffs reduce investment and activity.","Hassan2019_PRisk","https://openalex.org/W2976118977","article"
"Does CSR matter in times of crisis? Evidence from the COVID-19 pandemic","Kee‐Hong Bae; Sadok El Ghoul; Zhaoran Gong; Omrane Guedhami","2021","Journal of Corporate Finance","574","True","https://www.ncbi.nlm.nih.gov/pmc/articles/9759359","https://doi.org/10.1016/j.jcorpfin.2020.101876","","Hassan2019_PRisk","https://openalex.org/W3119188950","article"
"Climate Change News Risk and Corporate Bond Returns","Thanh Huynh; Ying Xia","2020","Journal of Financial and Quantitative Analysis","526","False","","https://doi.org/10.1017/s0022109020000757","Abstract We examine whether climate change news risk is priced in corporate bonds. We estimate bond covariance with a climate change news index and find that bonds with a higher climate change news beta earn lower future returns, consistent with the asset pricing implications of demand for bonds with high potential to hedge against climate risk. Moreover, when investors are concerned about climate risk, they are willing to pay higher prices for bonds issued by firms with better environmental performance. Our findings suggest that corporate policies aimed at improving environmental performance pay off when the market is concerned about climate change risk.","Hassan2019_PRisk","https://openalex.org/W3041455311","article"
"The Political Economy of Populism","Sergei Guriev; Elias Papaioannou","2022","Journal of Economic Literature","420","False","","https://doi.org/10.1257/jel.20201595","We synthesize the literature on the recent rise of populism. First, we discuss definitions and present descriptive evidence on the recent increase in support for populists. Second, we cover the historical evolution of populist regimes since the late nineteenth century. Third, we discuss the role of secular economic factors related to cross-border trade and automation. Fourth, we review studies on the role of the 2008–09 global financial crisis and subsequent austerity, connect them to historical work covering the Great Depression, and discuss likely mechanisms. Fifth, we discuss studies on identity politics, trust, and cultural backlash. Sixth, we discuss economic and cultural consequences of growth in immigration and the recent refugee crisis. We also discuss the gap between perceptions and reality regarding immigration. Seventh, we review studies on the impact of the internet and social media. Eighth, we discuss the literature on the implications of populism’s recent rise. We conclude outlining avenues for further research. (JEL D72, E32, G01, J15, N30, N40, Z13)","Hassan2019_PRisk","https://openalex.org/W3122961667","article"
"Firm-Level Exposure to Epidemic Diseases: COVID-19, SARS, and H1N1","Tarek A. Hassan; Stephan Hollander; Laurence van Lent; Markus Schwedeler; Ahmed Tahoun","2020","National Bureau of Economic Research","376","True","https://doi.org/10.3386/w26971","https://doi.org/10.3386/w26971","We construct text-based measures of the primary concerns listed firms associated with the spread of COVID-19 and other epidemic diseases. We identify which firms perceive to lose or gain from a given epidemic and textually decompose the epidemic's effect on the firm's demand and supply. We find that the effects of COVID-19 manifest as a simultaneous shock to demand and supply, with both shocks affecting firms' market valuations in equal measure on average. By contrast, demand-related impacts appear more important in accounting for the observed collapse in firmlevel investment during the COVID-19 crisis.","Hassan2019_PRisk","https://openalex.org/W3014574024","report"
"Corporate Climate Risk: Measurements and Responses","Qing Li; Hongyu Shan; Yuehua Tang; Vincent Yao","2024","Review of Financial Studies","359","True","https://repository.ceibs.cn/ws/files/66560573/Corporate_Climate_Risk_Measurements_and.pdf","https://doi.org/10.1093/rfs/hhad094","Abstract This paper conducts a textual analysis of earnings call transcripts to quantify climate risk exposure at the firm level. We construct dictionaries that measure physical and transition climate risks separately and identify firms that proactively respond to climate risks. Our validation analysis shows that our measures capture firm-level variations in respective climate risk exposure. Firms facing high transition risk, especially those that do not proactively respond, have been valued at a discount in recent years as aggregate investor attention to climate-related issues has been increasing. We document differences in how firms respond through investment, green innovation, and employment when facing high climate risk exposure.","Hassan2019_PRisk","https://openalex.org/W4390954288","article"
"Navigating through economic policy uncertainty: The role of corporate cash holdings","Huu Nhan Duong; Justin Hung Nguyen; My Nguyеn; S. Ghon Rhee","2020","Journal of Corporate Finance","346","True","https://figshare.com/articles/journal_contribution/Navigating_through_economic_policy_uncertainty_The_role_of_corporate_cash_holdings/27529428","https://doi.org/10.1016/j.jcorpfin.2020.101607","","Hassan2019_PRisk","https://openalex.org/W2770038424","article"
"Dissecting climate risks: Are they reflected in stock prices?","Renato Faccini; Rastin Matin; George Skiadopoulos","2023","Journal of Banking & Finance","322","False","","https://doi.org/10.1016/j.jbankfin.2023.106948","","Hassan2019_PRisk","https://openalex.org/W4383645781","article"
