"title","authors","year","venue","cited_by","is_oa","oa_url","doi","abstract","query","id","type"
"Feverish Stock Price Reactions to COVID-19*","Stefano Ramelli; Alexander F. Wagner","2020","The Review of Corporate Finance Studies","1225","True","https://academic.oup.com/rcfs/article-pdf/9/3/622/33880074/cfaa012.pdf","https://doi.org/10.1093/rcfs/cfaa012","Market reactions to the 2019 novel coronavirus disease (COVID-19) provide new insights into how real shocks and financial policies drive firm value. Initially, internationally oriented firms, especially those more exposed to trade with China, underperformed. As the virus spread to Europe and the United States, corporate debt and cash holdings emerged as important value drivers, relevant even after the Fed intervened in the bond market. The content and tone of conference calls mirror this development over time. Overall, the results illustrate how anticipated real effects from the health crisis, a rare disaster, were amplified through financial channels.","trump election cash holdings firm","https://openalex.org/W3122263577","article"
"Anticompetitive Effects of Common Ownership","José Azar; Martin C. Schmalz; Isabel Tecu","2018","The Journal of Finance","910","True","http://www.iese.edu/research/pdfs/WP-1169-E.pdf","https://doi.org/10.1111/jofi.12698","ABSTRACT Many natural competitors are jointly held by a small set of large institutional investors. In the U.S. airline industry, taking common ownership into account implies increases in market concentration that are 10 times larger than what is “presumed likely to enhance market power” by antitrust authorities. Within‐route changes in common ownership concentration robustly correlate with route‐level changes in ticket prices, even when we only use variation in ownership due to the combination of two large asset managers. We conclude that a hidden social cost—reduced product market competition—accompanies the private benefits of diversification and good governance.","trump election cash holdings firm","https://openalex.org/W2887416572","article"
"Can Twitter Help Predict Firm-Level Earnings and Stock Returns?","Eli Bartov; Lucile Faurel; Partha S. Mohanram","2017","The Accounting Review","592","True","https://utoronto.scholaris.ca/bitstreams/6d333244-3cf6-4ca6-b86e-7ffe48e75868/download","https://doi.org/10.2308/accr-51865","ABSTRACT Prior research has examined how companies exploit Twitter in communicating with investors, and whether Twitter activity predicts the stock market as a whole. We test whether opinions of individuals tweeted just prior to a firm's earnings announcement predict its earnings and announcement returns. Using a broad sample from 2009 to 2012, we find that the aggregate opinion from individual tweets successfully predicts a firm's forthcoming quarterly earnings and announcement returns. These results hold for tweets that convey original information, as well as tweets that disseminate existing information, and are stronger for tweets providing information directly related to firm fundamentals and stock trading. Importantly, our results hold even after controlling for concurrent information or opinion from traditional media sources, and are stronger for firms in weaker information environments. Our findings highlight the importance of considering the aggregate opinion from individual tweets when assessing a stock's future prospects and value.","trump election cash holdings firm","https://openalex.org/W3125521553","article"
"Climate Change Concerns and the Performance of Green vs. Brown Stocks","David Ardia; Keven Bluteau; Kris Boudt; Koen Inghelbrecht","2022","Management Science","555","True","https://research.vu.nl/en/publications/a5f1b319-54ea-416c-9164-e4b7c5d80c9b","https://doi.org/10.1287/mnsc.2022.4636","We empirically test the prediction of Pástor et al. (2021) that green firms outperform brown firms when concerns about climate change increase unexpectedly, using data for S&amp;P 500 companies from January 2010 to June 2018. To capture unexpected increases in climate change concerns, we construct a daily Media Climate Change Concerns index using news about climate change published by major U.S. newspapers and newswires. We find that on days with an unexpected increase in climate change concerns, the green firms’ stock prices tend to increase, whereas brown firms’ prices decrease. Furthermore, using topic modeling, we conclude that this effect holds for concerns about both transition and physical climate change risk. Finally, we decompose returns into cash flow and discount rate news components and find that an unexpected increase in climate change concerns is associated with an increase (decrease) in the discount rate of brown (green) firms. This paper was accepted by George Serafeim, Special Section of Management Science on Business and Climate Change. Funding: This work was supported by the National Bank of Belgium, Research Foundation Flanders (FWO), Institut de Valorisation des Données (IVADO), the Natural Sciences and Engineering Research Council of Canada [Grant RGPIN-2022-03767], and Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung [Grants 179281, 191730]. Supplemental Material: The data files and online appendix are available at https://doi.org/10.1287/mnsc.2022.4636 .","trump election cash holdings firm","https://openalex.org/W4312118455","article"
"The i-frame and the s-frame: How focusing on individual-level solutions has led behavioral public policy astray","Nick Chater; George Loewenstein","2022","Behavioral and Brain Sciences","511","True","https://wrap.warwick.ac.uk/168582/1/WRAP-i-frame-s-frame-how-focusing-individual-level-solutions-led-behavioral-public-policy-astray-22.pdf","https://doi.org/10.1017/s0140525x22002023","An influential line of thinking in behavioral science, to which the two authors have long subscribed, is that many of society's most pressing problems can be addressed cheaply and effectively at the level of the individual, without modifying the system in which the individual operates. We now believe this was a mistake, along with, we suspect, many colleagues in both the academic and policy communities. Results from such interventions have been disappointingly modest. But more importantly, they have guided many (though by no means all) behavioral scientists to frame policy problems in individual, not systemic, terms: To adopt what we call the ""i-frame,"" rather than the ""s-frame."" The difference may be more consequential than i-frame advocates have realized, by deflecting attention and support away from s-frame policies. Indeed, highlighting the i-frame is a long-established objective of corporate opponents of concerted systemic action such as regulation and taxation. We illustrate our argument briefly for six policy problems, and in depth with the examples of climate change, obesity, retirement savings, and pollution from plastic waste. We argue that the most important way in which behavioral scientists can contribute to public policy is by employing their skills to develop and implement value-creating system-level change.","trump election cash holdings firm","https://openalex.org/W4294628862","article"
"Investor rewards to environmental responsibility: Evidence from the COVID-19 crisis","Alexandre Garel; Arthur Petit-Romec","2021","Journal of Corporate Finance","289","True","https://www.sciencedirect.com/science/article/am/pii/S0929119921000699?via%3Dihub","https://doi.org/10.1016/j.jcorpfin.2021.101948","","trump election cash holdings firm","https://openalex.org/W3156650419","article"
"Towards a Political Theory of the Firm","Luigi Zingales","2017","The Journal of Economic Perspectives","288","True","https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.31.3.113","https://doi.org/10.1257/jep.31.3.113","The revenues of large companies often rival those of national governments, and some companies have annual revenues higher than many national governments. Among the largest corporations in 2015, some had private security forces that rivaled the best secret services, public relations offices that dwarfed a US presidential campaign headquarters, more lawyers than the US Justice Department, and enough money to capture (through campaign donations, lobbying, and even explicit bribes) a majority of the elected representatives. The only powers these large corporations missed were the power to wage war and the legal power of detaining people, although their political influence was sufficiently large that many would argue that, at least in certain settings, large corporations can exercise those powers by proxy. Yet in economics, the commonly prevailing view of the firm ignores all these elements of politics and power. We must recognize that large firms have considerable power to influence the rules of the game. I call attention to the risk of a “Medici vicious circle,” in which economic and political power reinforce each other. The possibility and extent of a “Medici vicious circle” depends upon several nonmarket factors. I discuss how they should be incorporated in a broader “Political Theory” of the firm.","trump election cash holdings firm","https://openalex.org/W2735987018","article"
"Climate Change and the Financial System","Irene Monasterolo","2020","Annual Review of Resource Economics","272","True","https://www.annualreviews.org/doi/pdf/10.1146/annurev-resource-110119-031134","https://doi.org/10.1146/annurev-resource-110119-031134","The financial system could help achieve the global climate targets by aligning investments to sustainability. However, investors are largely exposed to carbon-intensive assets that could become stranded, thus delaying the low-carbon transition and bringing new sources of risk for financial stability, i.e., climate-related financial risks. Here, we discuss climate-related financial risks, the challenges they pose to traditional economic and financial risk assessment, and the implications for the implementation and feasibility of climate policies. We then present science-based approaches that introduce forward-looking climate risks and their deep uncertainty in financial risk management (e.g., via the climate value at risk, climate spread, climate stress-test). Finally, we present results of applications aimed at pricing climate risks in investors’ portfolios and calculating the largest losses that could lead to systemic risk, in collaboration with leading financial institutions.","trump election cash holdings firm","https://openalex.org/W2988392657","article"
"Stranded Assets in the Transition to a Carbon-Free Economy","Frederick van der Ploeg; Armon Rezai","2020","Annual Review of Resource Economics","230","True","https://www.annualreviews.org/doi/pdf/10.1146/annurev-resource-110519-040938","https://doi.org/10.1146/annurev-resource-110519-040938","Assets in the fossil fuel industries are at risk of losing market value due to unanticipated breakthroughs in renewable technology and governments stepping up climate policies in light of the Paris commitments to limit global warming to 1.5 or 2°C. Stranded assets arise due to uncertainty about the future timing of these two types of events and substantial intertemporal and intersectoral investment adjustment costs. Stranding of assets mostly affects the 20 biggest oil, gas, and coal companies who have been responsible for at least one-third of global warming since 1965, but it also affects carbon-intensive industries such as steel, aluminum, cement, plastics, and greenhouse horticulture. A disorderly transition to the carbon-free economy will lead to stranded assets and legal claims. Institutional investors should be aware of these financial risks. A broader definition of stranded assets also includes countries reliant on fossil fuel exports and workers with technology-specific skills.","trump election cash holdings firm","https://openalex.org/W2998548817","article"
"Climate finance and disclosure for institutional investors: why transparency is not enough","Nadia Ameli; Paul Drummond; Alexander Bisaro; Michael Grubb; Hugues Chenet","2019","Climatic Change","189","True","https://link.springer.com/content/pdf/10.1007/s10584-019-02542-2.pdf","https://doi.org/10.1007/s10584-019-02542-2","Abstract The finance sector’s response to pressures around climate change has emphasized disclosure, notably through the recommendations of the Financial Stability Board’s Task Force on Climate-related Financial Disclosures (TCFD). The implicit assumption—that if risks are fully revealed, finance will respond rationally and in ways aligned with the public interest—is rooted in the “efficient market hypothesis” (EMH) applied to the finance sector and its perception of climate policy. For low carbon investment, particular hopes have been placed on the role of institutional investors, given the apparent matching of their assets and liabilities with the long timescales of climate change. We both explain theoretical frameworks (grounded in the “three domains”, namely satisficing, optimizing, and transforming) and use empirical evidence (from a survey of institutional investors), to show that the EMH is unsupported by either theory or evidence: it follows that transparency alone will be an inadequate response. To some extent, transparency can address behavioural biases (first domain characteristics), and improving pricing and market efficiency (second domain); however, the strategic (third domain) limitations of EMH are more serious. We argue that whilst transparency can help, on its own it is a very long way from an adequate response to the challenges of ‘aligning institutional climate finance’.","trump election cash holdings firm","https://openalex.org/W2982355665","article"
