slide,one_job,has_more_than_one_job,must_land,cut_order,next_slide_interface,word_budget_ack
1,Orient the listener to the exact phenomenon the thesis studies.,false,"The unit is uncertainty in CEOs' unscripted Q&A answers. || The event is an acquisition that is not yet public, with cash deals as the focal setting. || The talk documents a descriptive language pattern rather than a causal mechanism.","Name the research object: residual CEO Q&A uncertainty around undisclosed cash acquisitions. || Clarify that the question concerns a pre-announcement language trace. || State the descriptive, noncausal scope. || Speak the degree, institution, and adviser details already visible on screen.",End with the unresolved question of why an undisclosed deal could change answers; Slide 2 must supply the disclosure bind.,65
2,Make the listener understand the disclosure bind that creates the prediction.,false,"The firm may hold material deal information while the routine earnings call still occurs. || The firm may remain silent, but anything it does say cannot mislead. || Hedged or qualified answers are a possible language trace while the deal remains private.",Establish the private-information plus routine-Q&A bind. || State the core prediction: residual Q&A uncertainty may rise while the deal is private. || Preserve the boundary that the framework does not decide whether silence is constrained or strategic. || Explain the legal authorities or disclosure-theory citations individually.,End with the prediction being tied to the private-information state; Slide 3 must show when that state ends and why payment method supplies a comparison.,150
3,"Set the two empirical contrasts: the information clock versus the transaction clock, and cash versus stock.",true,"Announcement makes the information public, while completion is when cash leaves. || Cash and stock deals share the disclosure setting. || Stock deals add an equity-currency management incentive, which motivates comparison but does not identify a cause.","Distinguish announcement from completion as two different clocks. || Explain that cash and stock share the disclosure bind. || State that the payment-method contrast is motivational and descriptive, not causal. || Elaborate the prior literature on equity-currency management or cash accumulation.",End by naming timing and payment method as testable dimensions; Slide 4 must convert them into the three research questions.,150
4,Give the listener a three-question map for the rest of the talk.,false,"RQ1 asks whether residual uncertainty rises before cash-deal announcement. || RQ2 asks whether uncertainty changes at announcement while cash changes at completion. || RQ3 asks whether cash differs from stock using a direct difference test. || All tests are descriptive within-firm comparisons, not causal estimates.","State the three questions in appearance, timing, and payment-method order. || Anchor all three in within-firm comparisons and the noncausal scope. || Flag that the cash-minus-stock difference is tested directly. || Read the equation-like labels or recite the full control list.",End by asking what is new about these three questions; Slide 5 must locate the missing literature cell before the empirical build begins.,150
5,Locate the thesis's narrow contribution relative to the nearest prior work.,false,"Prior work reads managed tone, strategy vocabulary, or prices. || This thesis reads residual uncertainty in unscripted CEO Q&A before an unannounced acquisition. || The novelty claim remains qualified as 'to our knowledge'.","Define the missing cell using the three contrasts: uncertainty, Q&A, and the anticipatory window. || Retain the 'to our knowledge' qualifier. || Name the three adjacent literatures at category level. || Describe each cited paper, author pair, and finding separately.",End with the exact empirical object now located; Slide 6 must show the data path capable of observing it.,120
6,Show where the evidence comes from and which firms it can represent.,false,"The base panel contains 88,205 calls from 1,884 firms over 2002-2018. || Repeated calls and CEO identification are required to form the residual, narrowing the sample. || The focal first-cash-deal test contains 27,622 firm-quarters from 1,248 firms. || The sample tilts toward larger, better-covered U.S. public firms.","Give the base panel, residual-feasible sample logic, and focal test sample. || State the deal screen: known payment split, at least $1 million, and at least 50% for an arm. || Disclose the larger-firm and better-covered selection boundary. || Recite every database and every intermediate count.",End with the sample narrowing because the outcome must be constructed; Slide 7 must explain that construction.,185
7,Make the residual measure understandable without implying that it directly observes what the CEO knows.,false,"Raw uncertainty is the share of uncertainty words in CEO answers. || Predictable components, especially persistent CEO speaking style, are removed. || UncResCEO is the call-specific remainder, not raw uncertainty and not a direct measure of private knowledge. || It is a generated outcome, so two-step standard-error uncertainty remains a limitation.","Explain raw word share minus predictable components equals the residual. || Emphasize removal of persistent CEO style and the call-specific interpretation. || State the generated-regressand limitation without attempting the full rebuttal. || List every first-stage control, sample statistic, and replication fit number.",End with the residual defined as the outcome carried forward; Slide 8 must show its first estimated pre-announcement shift.,185
8,Establish that the pre-announcement rise exists and communicate its size honestly.,false,"The within-firm estimate is +0.0461 with two-tailed p=0.0074. || The estimate is about 15.3% of the residual's usual across-call standard deviation. || The rise is modest but statistically clear and descriptive, not causal. || The displayed interval is approximately derived from the estimate and standard error, not printed by the thesis.","State the direction, estimate, and descriptive comparison. || Translate magnitude as about 15% of the usual residual spread. || Give one uncertainty indicator: p-value or approximate interval, without narrating both at length. || Recite the full control list, sample counts, standard error, and both interval endpoints.",End with existence established but timing unresolved; Slide 9 must trace the measure through announcement and completion.,265
9,Show that language and cash move on different clocks around the same deal.,false,"PRE2 shows no statistically detected elevation; this is a check, not proof of no pre-trend. || Residual uncertainty rises at PRE1 and becomes indistinguishable from baseline at GAP; the PRE1-minus-GAP Wald drop is significant. || Cash shows no detected PRE1-to-GAP decline and declines after completion. || Cash persistence means absence of a detected decline, not a significantly elevated GAP level. || Both paths use the same matched firm-quarters and remain descriptive.","Explain the two clocks through the adjacent-stage contrasts. || Preserve the cash-persistence caveat and the noncausal scope. || Define the baseline and bins only as much as needed to read the figure. || Walk every point estimate, standard error, p-value, lag coefficient, and sample count.",End with timing established but payment-method concentration still untested; Slide 10 must perform the direct cash-versus-stock comparison.,265
10,Distinguish a descriptive side-by-side pattern from the formal direct cash-minus-stock test.,false,"The side-by-side panels show a cash run-up and an imprecise stock estimate, but separate significance is not the test. || The pooled Wald difference is +0.0983 with two-tailed p=.039. || The evidence supports concentration in cash, not a cash-only effect or a mechanism. || The result is supportive but fragile because the stock estimate is imprecisely negative.","Lead with the direct pooled difference and its interpretation. || State why separate stars cannot establish a difference. || Preserve the concentration-not-specificity and fragility caveats. || Walk the PRE2, GAP, and POST coefficients in both descriptive panels or recite all sample details.",End with the three findings now complete and bounded; Slide 11 must state what those findings add rather than repeat them.,215
