sentence_id,slide,sentence_number,spoken_sentence,classification,claim_bearing,source_basis,support_status,finding_id,audit_note
1.1,1,1,A firm has agreed to buy another company.,thesis_fact,true,thesis_flat.tex abstract/introduction and rev22_slide_text.md slide 1,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
1.2,1,2,The deal is not public yet.,thesis_fact,true,thesis_flat.tex abstract/introduction and rev22_slide_text.md slide 1,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
1.3,1,3,"But the quarterly earnings call still happens, and the chief executive still takes questions.",thesis_fact,true,thesis_flat.tex abstract/introduction and rev22_slide_text.md slide 1,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
1.4,1,4,This talk is about the words in those answers.,slide_explanation,true,thesis_flat.tex abstract/introduction and rev22_slide_text.md slide 1,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
1.5,1,5,Not the prepared script: the unrehearsed part.,slide_explanation,true,thesis_flat.tex abstract/introduction and rev22_slide_text.md slide 1,EXCEEDS_SUPPORT,U10-F01,"U10-F01: Calling the Q&A “unrehearsed” is stronger than the thesis. The thesis distinguishes it from the prepared script but says it is less scripted and cannot be fully prepared, not that executives do no rehearsal or preparation."
1.6,1,6,What I found is a pattern in that language.,result,true,thesis_flat.tex abstract/introduction and rev22_slide_text.md slide 1,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
1.7,1,7,"It is a description of a regularity, not a claim about cause.",limitation,true,thesis_flat.tex abstract/introduction and rev22_slide_text.md slide 1,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.1,2,1,Start with the bind the firm is in.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
2.2,2,2,"The company is sitting on material information, meaning information important enough to move what investors think.",thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.3,2,3,In the United States there is no rule forcing it to announce merger talks.,thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,EXCEEDS_SUPPORT,U10-F02,U10-F02: “No rule” is an absolute legal claim. The thesis deliberately states the narrower proposition that there is no general duty to disclose confidential merger talks.
2.4,2,4,So staying quiet is legal.,thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.5,2,5,But the earnings call is scheduled.,thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.6,2,6,It happens anyway.,thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.7,2,7,"And once the chief executive opens his mouth, a second rule applies: what he says cannot be misleading.",thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.8,2,8,Look at what that leaves him.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
2.9,2,9,He cannot confirm the deal.,thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.10,2,10,"He cannot deny it either, because denial would be a lie.",thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.11,2,11,He cannot skip the call.,thesis_fact,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.12,2,12,The only move left is to answer around the question.,interpretation,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,EXCEEDS_SUPPORT,U10-F03,"U10-F03: The sentence makes deflection the only available response and omits the ordinary option of declining to comment or remaining silent. That omission is especially exposed because the thesis itself treats silence and non-answers as deliberate, informative choices."
2.13,2,13,This is not a theory about honesty.,limitation,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.14,2,14,It is a constraint about what is sayable.,interpretation,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.15,2,15,That is the prediction.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
2.16,2,16,"While the deal is still private, the answers should get more hedged, more qualified, less certain.",interpretation,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
2.17,2,17,And that should show up in the words themselves.,interpretation,true,thesis_flat.tex conceptual framework and rev22_slide_text.md slide 2,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.1,3,1,"Two things happen at different times, and that gap is what I use.",slide_explanation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.2,3,2,The announcement is when the information becomes public.,thesis_fact,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.3,3,3,Completion is when the money actually leaves.,thesis_fact,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.4,3,4,"Those are separate dates, often months apart.",thesis_fact,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.5,3,5,So the deal runs on two clocks.,slide_explanation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.6,3,6,Information becomes public at announcement.,thesis_fact,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.7,3,7,Cash moves at completion.,thesis_fact,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.8,3,8,Neither clock is something I set.,slide_explanation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.9,3,9,Both come from the deal itself.,thesis_fact,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.10,3,10,Now the second contrast.,thesis_fact,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.11,3,11,Cash deals and stock deals sit in the same disclosure situation.,thesis_fact,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.12,3,12,Both are private until announced.,interpretation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.13,3,13,But a stock deal adds something.,slide_explanation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.14,3,14,"The buyer is paying with its own shares, so it has a reason to care about its share price in the run-up.",transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
3.15,3,15,That makes cash the relatively cleaner setting to look at.,limitation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.16,3,16,I want to be careful here.,limitation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.17,3,17,Cleaner is not clean.,limitation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.18,3,18,"Firms choose how to pay, and that choice is not random.",interpretation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.19,3,19,So the comparison motivates the question.,limitation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
3.20,3,20,It does not settle it.,limitation,true,thesis_flat.tex conceptual framework/methodology and rev22_slide_text.md slide 3,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.1,4,1,"Three questions, and the rest of the talk answers them in order.",transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
4.2,4,2,First: does the language change before a cash acquisition is announced?,slide_explanation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.3,4,3,That is the run-up question.,slide_explanation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.4,4,4,"Second: if it changes, when does it stop?",slide_explanation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.5,4,5,"Does the language settle at announcement while the cash moves later, at completion?",slide_explanation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.6,4,6,Third: is this stronger for cash than for stock?,slide_explanation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.7,4,7,"And here the test has to be a direct comparison of the two, not two separate results looked at side by side.",slide_explanation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.8,4,8,One thing about all three.,thesis_fact,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.9,4,9,"Every test is a within-firm comparison, which is to say each firm is compared with itself in its own other quarters.",slide_explanation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.10,4,10,That is what fixed effects do: they strip out anything about a firm that does not change.,slide_explanation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.11,4,11,And every answer is a descriptive result: a measured pattern rather than a cause.,limitation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.12,4,12,Nothing here identifies a mechanism.,limitation,true,thesis_flat.tex methodology and rev22_slide_text.md slide 4,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
4.13,4,13,I will say that again at the end.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
5.1,5,1,Where this sits.,transition,false,Rhetorical structure; no independent evidentiary proposition.,NOT_A_CLAIM,,Classified; no source test required beyond consistency with the slide sequence.
5.2,5,2,There is good work reading the language of earnings calls.,thesis_fact,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.3,5,3,Some of it reads managed tone.,thesis_fact,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.4,5,4,Some reads the vocabulary of strategy.,thesis_fact,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.5,5,5,Some reads what prices do around the call.,thesis_fact,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.6,5,6,One distinction runs through all of it.,thesis_fact,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,EXCEEDS_SUPPORT,U10-F04,U10-F04: The absolute claim that answers are not written in advance exceeds the construct boundary. Executives can prepare likely Q&A topics and talking points even though the exchange is not a prepared script.
5.7,5,7,The prepared remarks are written in advance.,thesis_fact,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.8,5,8,"The answers are not, and the answers are where I look.",thesis_fact,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,WITHIN_SUPPORT,,Meaning stayed within the supplied thesis/deck ceiling.
5.9,5,9,"What I did not find was work reading the uncertainty in a chief executive's unscripted answers, in the specific window when an acquisition is agreed but not yet announced.",thesis_fact,true,thesis_flat.tex literature positioning and rev22_slide_text.md slide 5,EXCEEDS_SUPPORT,U10-F05,"U10-F05: The sentence presents the observed pre-announcement quarter as a verified period in which the acquisition is already agreed. The data observe announcement-relative quarters, not agreement, negotiation, materiality, or CEO-knowledge onset."
