risk,placement,what_it_costs,displaces
Slide 9 non-significance being narrated as equivalence or complete resolution,PODIUM,About 12–18 words to say “near zero and no longer statistically detected; PRE1-to-GAP falls significantly.” The cost is small and prevents the central result from becoming an unsupported equivalence claim.,A redundant description of the POST dip or a repeated axis label on slide 9.
Residualization being narrated as isolation of true or deal-specific uncertainty,PODIUM,"About 8–12 words to call UncResCEO an unexplained residual or operationalization. Without it, the method claim invites a construct-validity attack.",One example from the long list of first-stage controls on slide 7.
Cash as a clean counterfactual and payment-method endogeneity,BOTH,"A short podium boundary—motivation, not identification—costs roughly 8–10 words. The selection argument and observable arm differences stay for Q&A.","One sentence of literature motivation on slide 3, not a result."
"The 88,205-to-44,900 funnel being attributed only to CEO identity and five calls",PODIUM,Adding “complete-case residual sample” costs three words and prevents a false attrition account.,Nothing material.
Exactly 50/50 deals under two at-least-half thresholds,QA,Putting this edge case on the podium would interrupt the sample story and cannot be answered from the supplied files. Holding it requires checking the classification code or transaction-level counts before the defense.,"If volunteered, it would consume sample-screen time without a settled answer."
The 15% magnitude being heard as within-CEO variation,PODIUM,One qualifier—“pooled”—is enough. No meaningful time cost.,Nothing.
Quarterly POST bin being narrated as an exact closing-date response,PODIUM,Saying “post-completion bin” instead of “at completion” is cost-neutral and preserves the timing resolution actually estimated.,Nothing.
Unobserved negotiation onset and the sign of timing-error bias,BOTH,The podium should spend roughly 12–16 words naming PRE1 as announcement-anchored proxy exposure. The conditional bias analysis stays in Q&A; speaking it unprompted would consume much of slide 12.,A repeated causal disclaimer on slide 12; the full attenuation rebuttal displaces too much and should not be spoken.
PRE2 being used to claim no pre-trend or tight timing,QA,No extra podium words are needed if the presenter says only “no statistically detected PRE2 elevation.” The full power/equivalence qualification is held cold for Q&A.,Speaking the full rebuttal would take result-walking time from slide 9.
The attenuation and PRE2 rebuttals as a pair,QA,"The measured pair is about 129 words, roughly 70 seconds at the hedged rate. Slide 12 has about 120 words total, so podium placement would consume the entire limitations slide and force cuts to the conclusion.",Most of slide 12 or a substantial part of slides 11–13.
The phrase “Imperfect instruments” inviting an IV question,PODIUM,Call the box “measurement and comparison limits” aloud. This is cost-neutral and avoids an exclusion-restriction detour.,Nothing.
Generated-regressand standard errors and the unsafe “only adds noise” answer,BOTH,A short podium acknowledgment that first-stage uncertainty is not propagated costs roughly 10–14 words; bootstrap details and any bias discussion stay in Q&A.,One lower-priority control example on slide 7.
Speaker-attribution accuracy,QA,Volunteering an unvalidated accuracy issue would invite a data-pipeline attack and has no quantitative resolution. Holding it requires a precise concession and no claim that errors merely add noise.,"If volunteered, it would consume method time without supplying evidence."
Why the sample ends in 2018,QA,"The thesis supplies no rationale, so podium discussion can only advertise an unanswered question. Holding it requires a direct concession and a scope boundary.",Sample-description time on slide 6.
“Readable” being heard as tradable or usable in real time,QA,No podium expansion is needed because the deck already frames the result as descriptive. The presenter must be ready to distinguish panel detectability from a live prediction or investment signal.,A future-work or investor-prescription detour that is outside the thesis.
