panel,variable,unit,anchor,n,mean,sd,p25,p50,p75
A. Independent Variables,GEPU_log,C,H24b,88205,4.687237550492872,0.36723262022929676,4.3796580049958065,4.723760342391389,4.96657929661077
A. Independent Variables,GPR_log,C,H25,88205,4.583786569372983,0.25536831657034753,4.416524935266544,4.511054749651969,4.725099219209972
A. Independent Variables,PRisk,C,H11,85995,99.61870321991627,146.5189381393413,17.077753,53.372898,120.197305
A. Independent Variables,PRisk_lag,C,H11-Lag1,81766,99.69853557342417,146.67749525505636,17.137628,53.40468,120.239665
A. Independent Variables,PRisk_lag2,C,H11-Lag2,80627,99.96139731203813,147.2391996244364,17.170185,53.444593,120.26658
A. Independent Variables,TotalSimilarity,F,H23,22403,3.4277070481631924,5.652235628102901,1.1246,1.5865,3.0903
A. Independent Variables,US_EPU_log,C,H24,88205,4.712320077467963,0.3661117188679523,4.480486346407027,4.689128708370879,4.962532003270315
A. Independent Variables,UncAnsCEO,C,H1,71748,0.7806031614995578,0.3925496535348733,0.5146964215433986,0.7415399708591884,1.0018299421109724
A. Independent Variables,UncAnsMgr,C,H1,84729,0.8188728609102521,0.3343664102983359,0.5891472868217054,0.7874015748031495,1.0135135135135136
A. Independent Variables,UncPreCEO,C,H1,71727,0.6602043515719876,0.39167942868735917,0.38095238095238093,0.6000857265323617,0.8722741433021807
A. Independent Variables,UncPreMgr,C,H1,86795,0.8938328264269854,0.3508025907209692,0.6456241032998565,0.8533747090768037,1.0952107931246857
B. Dependent Variables,BGTAvg_Amihud,C,H7e,86978,0.016698168474709604,0.10026469382734585,0.0002357440554912806,0.0009989662348289152,0.004137011237366381
B. Dependent Variables,BGTAvg_Amihud_lead1,C,H7e,82808,0.015750622804826735,0.09798468800327836,0.00022345348580235958,0.0009370940623790935,0.0038227377290124104
B. Dependent Variables,BGTAvg_Spread,C,H14e,87086,0.0017747340120026955,0.0026685825802577356,0.0004550386637875318,0.0009204525025808287,0.0018039443005683398
B. Dependent Variables,BGTAvg_Spread_lead1,C,H14e,82914,0.0016532052759506213,0.0024979336175199353,0.0004419805185197045,0.0008863863495236561,0.00170207258762548
B. Dependent Variables,BGTDelta_Amihud,C,H7d,86557,-0.0011000322408086017,0.028066277220357767,-0.0003548082915762141,-1.5934954838537827e-05,9.21878124829701e-05
B. Dependent Variables,BGTDelta_Amihud_lead1,C,H7d,82475,-0.00094845787577482,0.0271115021738057,-0.00033637693688735263,-1.5624237906702976e-05,8.527513895776774e-05
B. Dependent Variables,BGTDelta_Spread,C,H14d,85189,-9.435334358302093e-05,0.0008485664954471911,-0.00017531384222044385,-1.8016903865434198e-05,8.540193643405826e-05
B. Dependent Variables,BGTDelta_Spread_lead1,C,H14d,81145,-7.987514682465877e-05,0.0007922293086753529,-0.00016368516992361712,-1.7098877399233405e-05,8.175228808019602e-05
B. Dependent Variables,BGTLevel_Amihud,C,H7c,86935,0.015069402148741293,0.0847332416044562,0.0002219574236286985,0.000931839978000491,0.0038045286521555216
