phase_order,phase_name,unit_id,call_number,unit_name,assignment_summary,input_files_needed,returns,how_output_is_checked,parallel_group,can_run_concurrently_with,depends_on,mvs_required,phase_exit_check
1,"Derive evidence, architecture, and risk controls",U01,1,Build the claim and scope ledger,"Create a proposition-level ledger for all 13 slides. For every visible number, result, academic claim, sample fact, and interpretation that the eventual script may need, record the visible anchor, exact thesis source, permitted claim ceiling, forbidden expansion, and whether the thesis is silent. Include explicit rows for speaker-attribution accuracy, the 2002 to 2018 endpoint rationale, residual versus raw uncertainty, PRE2, negotiation onset, the cash GAP coefficient, the cash-versus-stock Wald test, novelty hedging, and the three unapplied deck-audit findings. Do not draft speaker notes.","Core source archive: thesis_flat.tex, thesis_tables.tex, thesis_robustness_tables.tex, rev22_deck.pdf, rev22_slide_text.md, SPEAKER_NOTES_BUDGET.md, DEFENSE_LEDGER.md, rev22audit_response.json, audit_findings.md, REV22_CHANGE_LOG.md","A call-status JSON plus a zip containing claim_scope_ledger.csv, source_silence_register.md, and u01_acceptance_report.md.","Reject the unit unless all 13 slides are represented, every numeric row resolves to an exact thesis location, each open item is explicit, and no ledger, audit, or deck text is treated as higher authority than the thesis.",A,"U02, U03",,yes,"U01, U02, and U03 pass their own checks; U04 then contains exactly 13 drafting contracts, 12 transition interfaces, a 2110-word total, protected terminal slides, explicit source-silence flags, and no prose speaker notes."
1,"Derive evidence, architecture, and risk controls",U02,2,"Build the spoken architecture, budget, and transition contract","Design the non-prose architecture for the 13 scripts. For each slide define one audience job, must-land content, optional support, first-cut content, target words, ten-percent stopwatch corridor, seconds, register, pause allowance, and transition interface. For slides 8 to 10 define pointing beats separately from spoken words. Charge each cross-slide transition to the incoming slide. Preserve slides 11 to 13 before allocating discretionary words elsewhere. Do not draft speaker notes.","Core source archive: rev22_deck.pdf, rev22_slide_text.md, SPEAKER_NOTES_BUDGET.md, SPEAKING_RATE_TEST.md, DEFENSE_LEDGER.md, WEB_REVIEW_REQUEST.json","A call-status JSON plus a zip containing spoken_architecture.csv, transition_interfaces.csv, chart_pointing_plan.csv, and u02_budget_proof.md.","Reject the unit unless the word targets sum to 2110, the pre-rehearsal ceiling is 2110, chart pauses remain time rather than words, every slide has exactly one job and a cut order, and all 12 boundaries have an owner and purpose.",A,"U01, U03",,yes,"U01, U02, and U03 pass their own checks; U04 then contains exactly 13 drafting contracts, 12 transition interfaces, a 2110-word total, protected terminal slides, explicit source-silence flags, and no prose speaker notes."
1,"Derive evidence, architecture, and risk controls",U03,3,Build an independent examiner-attack and podium-boundary map,"Act as an adversarial examiner, not a drafter. Identify the exact oral overclaims or ambiguities most likely to be attacked in this locked deck, using the prior audit and committee ledger. Separate podium obligations from Q&A-only defenses. Confirm the conditional placement of the onset-bias and PRE2 rebuttals. Include the locked slide 12 wording, the 'Imperfect instruments' ambiguity, the residual/exact-point issue, the cash GAP nuance, and the cash-versus-stock comparison. Do not write speaker notes or prepared answer prose.","Core source archive: rev22_deck.pdf, rev22_slide_text.md, DEFENSE_LEDGER.md, rev22audit_response.json, audit_findings.md, REV22_CHANGE_LOG.md, thesis_flat.tex, thesis_tables.tex, SPEAKER_NOTES_BUDGET.md","A call-status JSON plus a zip containing examiner_attack_map.csv, podium_qa_boundary.csv, and u03_risk_report.md.","Reject the unit if it merely repeats the audit, if an attack lacks a deck location and thesis ceiling, or if either conditional rebuttal is moved into the podium script without a quantified time cost.",A,"U01, U02",,no,"U01, U02, and U03 pass their own checks; U04 then contains exactly 13 drafting contracts, 12 transition interfaces, a 2110-word total, protected terminal slides, explicit source-silence flags, and no prose speaker notes."
1,"Derive evidence, architecture, and risk controls",U04,4,Integrate the drafting contract,"Merge U01 and U02 into one 13-slide drafting contract. Resolve any conflict in favor of thesis authority first, then visible-slide scope, then the measured budget. Each slide contract must specify its audience job, exact claim IDs, mandatory content, prohibited content, target and corridor, cut order, transition interface, and acceptance tests. Preserve source-silence flags. This unit produces specifications only, not note text.","Core source archive plus the complete U01 and U02 output zips and response JSONs, all packaged inside one input zip","A call-status JSON plus a zip containing drafting_contract.csv, claim_trace_pack.csv, transition_contract.csv, automated_checks_spec.md, and u04_conflict_log.md.","Reject the unit unless there are exactly 13 slide contracts, every mandatory proposition has a trace ID, all 12 transitions are specified but not yet worded, and the contract can be split into four drafting bundles without hidden cross-bundle assumptions.",,,"U01, U02",yes,"U01, U02, and U03 pass their own checks; U04 then contains exactly 13 drafting contracts, 12 transition interfaces, a 2110-word total, protected terminal slides, explicit source-silence flags, and no prose speaker notes."
2,Draft complete scripts in independent bundles,U05,5,Draft slides 11 to 13 first,"Write the complete spoken scripts for slides 11, 12, and 13 from the approved drafting contract. Use full sentences and no em dash or en dash. Stay within each slide's corridor and the bundle total. Keep the contribution distinct from a result recap, keep the limitations descriptive and noncausal, and preserve the approved conclusion hedge. Do not insert the two full conditional rebuttals. Attach trace IDs to a separate trace file, not inside the spoken script.","Core source archive plus U04 drafting_contract.csv, claim_trace_pack.csv, transition_contract.csv, and automated_checks_spec.md in one input zip","A call-status JSON plus a zip containing notes_11_13.md, trace_11_13.csv, counts_11_13.csv, entry_exit_11_13.json, and u05_self_check.md.","Reject the unit if any slide is missing, if spoken text contains a forbidden dash, if a claim lacks a trace ID, if slide 12 contains the full rebuttals, or if the three scripts exceed their protected allocation.",B,"U06, U07, U08",U04,yes,"All four bundles pass, every slide has a complete script and separate trace file, slide-level counts remain in corridor, chart cues are nonspoken, no forbidden dash is present, and U05 was dispatched first so the ending exists even if later calls are interrupted."
2,Draft complete scripts in independent bundles,U06,6,Draft slides 1 to 4,"Write the complete spoken scripts for slides 1 through 4 from the approved drafting contract. Establish the problem, the two-clock intuition, and the research questions without causal or mechanism inflation. Use full, short sentences and no em dash or en dash. Keep trace IDs outside the spoken script and return explicit entry and exit intents for later cross-bundle integration.","Core source archive plus U04 drafting_contract.csv, claim_trace_pack.csv, transition_contract.csv, and automated_checks_spec.md in one input zip","A call-status JSON plus a zip containing notes_01_04.md, trace_01_04.csv, counts_01_04.csv, entry_exit_01_04.json, and u06_self_check.md.","Reject the unit if the motivation outruns the thesis, any literature or sample claim is untraced, research questions are converted into causal hypotheses, or the bundle violates its word allocation.",B,"U05, U07, U08",U04,yes,"All four bundles pass, every slide has a complete script and separate trace file, slide-level counts remain in corridor, chart cues are nonspoken, no forbidden dash is present, and U05 was dispatched first so the ending exists even if later calls are interrupted."
2,Draft complete scripts in independent bundles,U07,7,Draft slides 5 to 7,"Write the complete spoken scripts for slides 5 through 7 from the approved drafting contract. Narrate the literature cell, sample narrowing, and residual-measure construction in plain language while retaining exact methodological meaning. Use the thesis's novelty hedge and distinguish first-stage residualization from second-stage fixed-effect designs. Use full sentences and no em dash or en dash. Keep trace IDs outside spoken text.","Core source archive plus U04 drafting_contract.csv, claim_trace_pack.csv, transition_contract.csv, and automated_checks_spec.md in one input zip","A call-status JSON plus a zip containing notes_05_07.md, trace_05_07.csv, counts_05_07.csv, entry_exit_05_07.json, and u07_self_check.md.","Reject the unit if residual uncertainty is described as raw uncertainty, if the sample endpoint is rationalized beyond the thesis, if speaker-attribution accuracy is invented, if novelty is asserted without its hedge, or if the bundle violates its allocation.",B,"U05, U06, U08",U04,yes,"All four bundles pass, every slide has a complete script and separate trace file, slide-level counts remain in corridor, chart cues are nonspoken, no forbidden dash is present, and U05 was dispatched first so the ending exists even if later calls are interrupted."
2,Draft complete scripts in independent bundles,U08,8,Draft slides 8 to 10,"Write the complete spoken scripts for slides 8 through 10 from the approved drafting contract. Build a separate nonspoken pointing sequence for each figure. Preserve the PRE2 limitation, the PRE1-to-GAP information-clock contrast, the cash GAP nuance, and the pooled cash-versus-stock Wald estimand. Use full sentences and no em dash or en dash. Do not infer significance from comparing separate stars. Keep trace IDs and pointing cues outside spoken text.","Core source archive plus U04 drafting_contract.csv, claim_trace_pack.csv, transition_contract.csv, chart requirements, and automated_checks_spec.md in one input zip","A call-status JSON plus a zip containing notes_08_10.md, trace_08_10.csv, counts_08_10.csv, entry_exit_08_10.json, chart_cues_08_10.csv, and u08_self_check.md.","Reject the unit if PRE2 becomes proof of no pre-trend, cash is said to have a significantly elevated GAP level, cash-versus-stock is argued from separate significance, chart cues are counted as spoken words, or pause allowances are ignored.",B,"U05, U06, U07",U04,yes,"All four bundles pass, every slide has a complete script and separate trace file, slide-level counts remain in corridor, chart cues are nonspoken, no forbidden dash is present, and U05 was dispatched first so the ending exists even if later calls are interrupted."
3,"Integrate once, then audit from two independent perspectives",U09,9,Assemble the full script and write cross-slide bridges,"Assemble U05 through U08 into one 13-slide candidate without silently rewriting claims. Write exactly one functional bridge at every slide boundary using the transition contract, charge its words to the incoming slide, and remove repeated openings or conclusions. Rebalance only by removing or replacing complete lowest-priority thoughts, never by stripping necessary qualifications or converting sentences into fragments. Preserve trace IDs in a separate file.","Core source archive, U04 contract outputs, and all U05 through U08 output zips and response JSONs, packaged inside one input zip","A call-status JSON plus a zip containing full_notes_candidate.md, full_trace.csv, word_budget.csv, transition_register.csv, chart_cue_map.csv, assembly_diff.md, and u09_acceptance_report.md.","Reject the unit unless all 13 scripts appear in order, all 12 bridges are present, the global spoken count is at most 2110 before rehearsal, each slide is inside its corridor or has a documented neutral transfer, slides 11 to 13 remain protected, and no trace was lost during assembly.",,,"U05, U06, U07, U08",yes,"U09 yields one 13-slide candidate with 12 bridges and full traces. U10 and U11 then independently inspect the frozen candidate, return findings rather than edits, and cover every sentence, slide boundary, chart beat, word count, and audience-facing character."
3,"Integrate once, then audit from two independent perspectives",U10,10,Run the independent evidence and inference audit,"Audit the assembled script sentence by sentence against the thesis and locked deck. Classify every spoken sentence as transition, visible explanation, thesis fact, number, result, interpretation, or limitation. Verify every claim trace and find any scope breach. Explicitly test residual-object wording, exact-point implications, negotiation onset, attenuation direction, PRE2, the cash GAP level, pooled cash-versus-stock comparison, novelty, causality, mechanisms, source-silent questions, and unapplied deck-audit findings. Report findings only; do not repair the script.","Core source archive, U09 full candidate and trace files, and U03 examiner-attack outputs in one input zip. In minimum-viable mode, omit U03 and derive the reduced attack list directly from audit_findings.md.","A call-status JSON plus a zip containing sentence_evidence_matrix.csv, evidence_findings.json, scope_findings.csv, and u10_audit_summary.md.","Reject the audit if any spoken sentence is unclassified, any number is sampled rather than exhaustively checked, findings lack exact script and source locations, or the auditor edits the script it is judging.",C,U11,"U09, U03",yes,"U09 yields one 13-slide candidate with 12 bridges and full traces. U10 and U11 then independently inspect the frozen candidate, return findings rather than edits, and cover every sentence, slide boundary, chart beat, word count, and audience-facing character."
