key	idx	auto_type	npar	nwords	head
dwz	0	abstract	1	128	Abstract
dwz	1	intro	22	2311	Introduction
dwz	2	hypotheses	1	45	Development of hypotheses
dwz	3	hypotheses	4	245	Clear talk as a matter of style
dwz	4	results	4	563	Clear talk and earnings responses
dwz	5	results	2	250	Clear talk and firm value
dwz	6	data	4	354	Conference call transcripts
dwz	7	artifact	4	58	12
dwz	8	methods	3	207	Overview of the approach
dwz	9	data	7	355	Uncertainty words
dwz	10	methods	10	762	CEO clarity -an intuitive argument
dwz	11	methods	11	700	CEO clarity -estimation
dwz	12	results	13	842	Correlates of CEO clarity
dwz	13	results	1	91	Summary of results so far
dwz	14	results	1	25	CEO clarity and earnings responses
dwz	15	methods	17	1129	Empirical strategy
dwz	16	results	8	483	Results
dwz	17	results	25	1675	Does the clarity of CEOs affect the response to hard or soft
dwz	18	conclusion	16	2739	Conclusions
dwz	19	appendix	0	0	IA Internet Appendix
dwz	20	methods	2	452	IA.1 Further comments on the methodology of estimating style
dwz	21	appendix	7	1788	IA-1
thewissen2024	0	abstract	1	171	Abstract
thewissen2024	1	untitled	1	170	
thewissen2024	2	intro	24	2676	Introduction
thewissen2024	3	artifact	1	127	P r e p r i n t n o t p e e r r e v i e w e d
thewissen2024	4	hypotheses	0	0	Literature review and hypothesis development
thewissen2024	5	lit_review	5	682	Stock-for-stock M&As and earnings management
thewissen2024	6	results	10	1094	Stock-for-stock M&As and the manipulation of corporate discl
thewissen2024	7	results	2	193	Economic benefits of tone management -Deal value, profitabil
thewissen2024	8	hypotheses	2	150	H2: The management of tone before stock-for-stock M&As incre
thewissen2024	9	hypotheses	3	272	H3: The management of tone before M&As decreases with the ac
thewissen2024	10	data	1	16	Sample selection and variable definition
thewissen2024	11	data	8	335	Collection of earnings press releases
thewissen2024	12	methods	8	859	Research design
thewissen2024	13	artifact	6	369	P r e p r i n t n o t p e e r r e v i e w e d
thewissen2024	14	artifact	1	13	P r e p r i n t n o t p e e r r e v i e w e d
thewissen2024	15	data	3	278	Sample selection
thewissen2024	16	data	4	279	Summary statistics
thewissen2024	17	results	3	141	Results
thewissen2024	18	results	7	489	Tone management around M&A announcements
thewissen2024	19	results	11	621	The multivariate setting of tone management
thewissen2024	20	methods	3	227	Endogeneity concerns
thewissen2024	21	methods	8	603	Propensity-score matching
thewissen2024	22	methods	3	272	Entropy balancing
thewissen2024	23	methods	8	442	Instrumental variable approach
thewissen2024	24	methods	2	155	Restricted control function
thewissen2024	25	artifact	1	109	P r e p r i n t n o t p e e r r e v i e w e d 29
thewissen2024	26	methods	2	85	Pseudo-event study
thewissen2024	27	results	3	136	Factors moderating and reinforcing the effect of stock-for-s
thewissen2024	28	results	1	197	Deal size
thewissen2024	29	results	1	148	Firm performance
thewissen2024	30	results	2	150	Firm monitoring
thewissen2024	31	results	1	87	Additional analyses -Stock market reaction and the target's 
thewissen2024	32	results	0	0	Does tone management profit bidders?
thewissen2024	33	results	6	643	The effect of tone management on the bidder's stock price be
thewissen2024	34	results	3	327	The impact of tone management on the bidder's long-term retu
thewissen2024	35	results	2	194	The tone management by the target
thewissen2024	36	data	7	800	The structure of earnings press releases before mergers and 
thewissen2024	37	conclusion	4	1758	Conclusion
