id,slide,value,kind,context
S02-001,2,01,bullet_label,CONCEPTUAL FRAMEWORK I Why Uncertainty Appears 01 Private acquisition The firm holds potentially material dea
S02-002,2,02,page_number,y material deal information that investors do not yet have. 02 Routine Q&A call The CEO still faces analysts in the less-s
S02-003,2,03,bullet_label,"es analysts in the less-scripted part of the earnings call. 03 No clean answer The firm may stay silent, but once it speak"
S02-004,2,04,bullet_label,"firm may stay silent, but once it speaks it cannot mislead. 04 Language trace Answers may become more hedged, qualified, a"
S02-005,2,1983,citation_year,ined or strategically chosen. Thesis framework: Verrecchia (1983); Dye (1985); Basic (1988); Rule 10b-5; Matsumoto et al. (2
S02-006,2,1985,citation_year,tegically chosen. Thesis framework: Verrecchia (1983); Dye (1985); Basic (1988); Rule 10b-5; Matsumoto et al. (2011); Hollan
S02-007,2,1988,citation_year,en. Thesis framework: Verrecchia (1983); Dye (1985); Basic (1988); Rule 10b-5; Matsumoto et al. (2011); Hollander et al. (20
S02-008,2,10,other,ramework: Verrecchia (1983); Dye (1985); Basic (1988); Rule 10b-5; Matsumoto et al. (2011); Hollander et al. (2010) 02 / 1
S02-009,2,-5,other,ework: Verrecchia (1983); Dye (1985); Basic (1988); Rule 10b-5; Matsumoto et al. (2011); Hollander et al. (2010) 02 / 13
S02-010,2,2011,citation_year,3); Dye (1985); Basic (1988); Rule 10b-5; Matsumoto et al. (2011); Hollander et al. (2010) 02 / 13
S02-011,2,2010,citation_year,88); Rule 10b-5; Matsumoto et al. (2011); Hollander et al. (2010) 02 / 13
S02-012,2,02,page_number,ule 10b-5; Matsumoto et al. (2011); Hollander et al. (2010) 02 / 13
S02-013,2,13,other,0b-5; Matsumoto et al. (2011); Hollander et al. (2010) 02 / 13
S03-014,3,1999,citation_year, public COMPLETION Cash is paid Framework sources: Harford (1999); Shleifer and Vishny (2003); Louis (2004); Thewissen et al
S03-015,3,2003,citation_year,aid Framework sources: Harford (1999); Shleifer and Vishny (2003); Louis (2004); Thewissen et al. (2024) 03 / 13
S03-016,3,2004,citation_year,sources: Harford (1999); Shleifer and Vishny (2003); Louis (2004); Thewissen et al. (2024) 03 / 13
S03-017,3,2024,citation_year,Shleifer and Vishny (2003); Louis (2004); Thewissen et al. (2024) 03 / 13
S03-018,3,03,page_number,er and Vishny (2003); Louis (2004); Thewissen et al. (2024) 03 / 13
S03-019,3,13,other,d Vishny (2003); Louis (2004); Thewissen et al. (2024) 03 / 13
S04-020,4,1,other,map Each question becomes one plain descriptive equation. RQ1 A P P E A R A N C E Does CEO Q&A uncertainty rise before a 
S04-021,4,2,other,"pation quarter, against the firm's own ordinary quarters. RQ2 T I M I N G Does uncertainty resolve at announcement while "
S04-022,4,1,other,le cash remains until completion? Uncertainty and cash = PRE1 + GAP + POST Read: uncertainty should drop from PRE1 to GAP
S04-023,4,1,other,h = PRE1 + GAP + POST Read: uncertainty should drop from PRE1 to GAP; cash should drop only after completion. RQ3 PAY M E
S04-024,4,3,other,from PRE1 to GAP; cash should drop only after completion. RQ3 PAY M E N T M E T H O D Is the pre-announcement run-up stro
S04-025,4,2.4,statistic,"sal effects. Thesis source: Main empirical designs, Section 2.4 04 / 13"
S04-026,4,04,page_number,"effects. Thesis source: Main empirical designs, Section 2.4 04 / 13"
S04-027,4,13,other,"ts. Thesis source: Main empirical designs, Section 2.4 04 / 13"
S05-028,5,2024,sample_size,H E C L O S E S T W O R K R E A D S TO N E Thewissen et al. 2024 Scripted press-release tone before stock- for-stock acquisi
